AREACD,AREANM,value
Alabama,Alabama,12
Alaska,Alaska,22
Arizona,Arizona,23
Arkansas,Arkansas,16
California,California,29
Colorado,Colorado,12
Connecticut,Connecticut,12
Delaware,Delaware,14
District of Columbia,District of Columbia,16
Florida,Florida,17
Georgia,Georgia,15
Hawaii,Hawaii,29
Idaho,Idaho,20
Illinois,Illinois,16
Indiana,Indiana,14
Iowa,Iowa,14
Kansas,Kansas,14
Kentucky,Kentucky,11
Louisiana,Louisiana,13
Maine,Maine,7
Maryland,Maryland,15
Massachusetts,Massachusetts,11
Michigan,Michigan,14
Minnesota,Minnesota,15
Mississippi,Mississippi,13
Missouri,Missouri,15
Montana,Montana,15
Nebraska,Nebraska,16
Nevada,Nevada,21
New Hampshire,New Hampshire,10
New Jersey,New Jersey,16
New Mexico,New Mexico,21
New York,New York,24
North Carolina,North Carolina,13
North Dakota,North Dakota,9
Ohio,Ohio,13
Oklahoma,Oklahoma,16
Oregon,Oregon,19
Pennsylvania,Pennsylvania,13
Rhode Island,Rhode Island,10
South Carolina,South Carolina,13
South Dakota,South Dakota,16
Tennessee,Tennessee,14
Texas,Texas,21
Utah,Utah,17
Vermont,Vermont,5
Virginia,Virginia,13
Washington,Washington,18
West Virginia,West Virginia,14
Wisconsin,Wisconsin,13
Wyoming,Wyoming,14
