AREANM,AREACD,value
South Carolina,South Carolina,61
Louisiana,Louisiana,53
Virginia,Virginia,39
Idaho,Idaho,38
Iowa,Iowa,42
Kentucky,Kentucky,56
Missouri,Missouri,49
Oklahoma,Oklahoma,60
Colorado,Colorado,40
Illinois,Illinois,48
Indiana,Indiana,48
Mississippi,Mississippi,60
North Dakota,North Dakota,30
Nebraska,Nebraska,43
Ohio,Ohio,24
Pennsylvania,Pennsylvania,50
Washington,Washington,42
Wisconsin,Wisconsin,39
Vermont,Vermont,36
Minnesota,Minnesota,35
Florida,Florida,54
North Carolina,North Carolina,56
California,California,59
New York,New York,53
Wyoming,Wyoming,36
Michigan,Michigan,49
Alaska,Alaska,34
Maryland,Maryland,46
Kansas,Kansas,46
Tennessee,Tennessee,47
Texas,Texas,60
Maine,Maine,44
District of Columbia,District of Columbia,76
Arizona,Arizona,45
Georgia,Georgia,60
Arkansas,Arkansas,63
New Jersey,New Jersey,37
South Dakota,South Dakota,36
Alabama,Alabama,52
Oregon,Oregon,46
West Virginia,West Virginia,50
Massachusetts,Massachusetts,50
Utah,Utah,32
Montana,Montana,38
New Hampshire,New Hampshire,26
New Mexico,New Mexico,72
Rhode Island,Rhode Island,47
Nevada,Nevada,61
Connecticut,Connecticut,41
Hawaii,Hawaii,45
Delaware,Delaware,37
