AREANM,AREACD,value
Alabama,Alabama,6
Alaska,Alaska,7
Arizona,Arizona,7
Arkansas,Arkansas,8
California,California,4
Colorado,Colorado,3
Connecticut,Connecticut,2
Delaware,Delaware,4
District of Columbia,District of Columbia,8
Florida,Florida,6
Georgia,Georgia,7
Hawaii,Hawaii,5
Idaho,Idaho,3
Illinois,Illinois,4
Indiana,Indiana,6
Iowa,Iowa,4
Kansas,Kansas,3
Kentucky,Kentucky,5
Louisiana,Louisiana,8
Maine,Maine,2
Maryland,Maryland,2
Massachusetts,Massachusetts,3
Michigan,Michigan,5
Minnesota,Minnesota,2
Mississippi,Mississippi,9
Missouri,Missouri,4
Montana,Montana,4
Nebraska,Nebraska,2
Nevada,Nevada,7
New Hampshire,New Hampshire,1
New Jersey,New Jersey,4
New Mexico,New Mexico,13
New York,New York,6
North Carolina,North Carolina,6
North Dakota,North Dakota,4
Ohio,Ohio,4
Oklahoma,Oklahoma,6
Oregon,Oregon,2
Pennsylvania,Pennsylvania,4
Rhode Island,Rhode Island,1
South Carolina,South Carolina,6
South Dakota,South Dakota,6
Tennessee,Tennessee,7
Texas,Texas,7
Utah,Utah,1
Vermont,Vermont,1
Virginia,Virginia,3
Washington,Washington,2
West Virginia,West Virginia,6
Wisconsin,Wisconsin,4
Wyoming,Wyoming,3
