AREACD,AREANM,value
Alabama,Alabama,1319
Alaska,Alaska,293
Arizona,Arizona,1789
Arkansas,Arkansas,1066
California,California,7114
Colorado,Colorado,740
Connecticut,Connecticut,477
Delaware,Delaware,160
District of Columbia,District of Columbia,84
Florida,Florida,2996
Georgia,Georgia,2354
Hawaii,Hawaii,238
Idaho,Idaho,273
Illinois,Illinois,2238
Indiana,Indiana,1582
Iowa,Iowa,564
Kansas,Kansas,674
Kentucky,Kentucky,1133
Louisiana,Louisiana,1314
Maine,Maine,169
Maryland,Maryland,750
Massachusetts,Massachusetts,777
Michigan,Michigan,1983
Minnesota,Minnesota,720
Mississippi,Mississippi,1054
Missouri,Missouri,1326
Montana,Montana,219
Nebraska,Nebraska,403
Nevada,Nevada,664
New Hampshire,New Hampshire,98
New Jersey,New Jersey,980
New Mexico,New Mexico,740
New York,New York,3811
North Carolina,North Carolina,1909
North Dakota,North Dakota,139
Ohio,Ohio,2377
Oklahoma,Oklahoma,1454
Oregon,Oregon,596
Pennsylvania,Pennsylvania,2029
Rhode Island,Rhode Island,144
South Carolina,South Carolina,1154
South Dakota,South Dakota,262
Tennessee,Tennessee,1806
Texas,Texas,8575
Utah,Utah,326
Vermont,Vermont,49
Virginia,Virginia,1094
Washington,Washington,1062
West Virginia,West Virginia,431
Wisconsin,Wisconsin,973
Wyoming,Wyoming,132
