AREACD,AREANM,value
Alabama,Alabama,26
Alaska,Alaska,18
Arizona,Arizona,18
Arkansas,Arkansas,30
California,California,15
Colorado,Colorado,12
Connecticut,Connecticut,10
Delaware,Delaware,13
District of Columbia,District of Columbia,15
Florida,Florida,14
Georgia,Georgia,16
Hawaii,Hawaii,10
Idaho,Idaho,20
Illinois,Illinois,16
Indiana,Indiana,19
Iowa,Iowa,18
Kansas,Kansas,17
Kentucky,Kentucky,20
Louisiana,Louisiana,22
Maine,Maine,12
Maryland,Maryland,12
Massachusetts,Massachusetts,8
Michigan,Michigan,19
Minnesota,Minnesota,14
Mississippi,Mississippi,34
Missouri,Missouri,21
Montana,Montana,20
Nebraska,Nebraska,19
Nevada,Nevada,14
New Hampshire,New Hampshire,9
New Jersey,New Jersey,9
New Mexico,New Mexico,22
New York,New York,13
North Carolina,North Carolina,15
North Dakota,North Dakota,10
Ohio,Ohio,14
Oklahoma,Oklahoma,26
Oregon,Oregon,17
Pennsylvania,Pennsylvania,12
Rhode Island,Rhode Island,10
South Carolina,South Carolina,18
South Dakota,South Dakota,16
Tennessee,Tennessee,19
Texas,Texas,21
Utah,Utah,13
Vermont,Vermont,14
Virginia,Virginia,15
Washington,Washington,12
West Virginia,West Virginia,18
Wisconsin,Wisconsin,16
Wyoming,Wyoming,19
